run_id,exp_type,file_size_mb,scenario,cpu_quota,threads,chunk_kb,duration_s,throughput_mbps,cost_cpu_seconds,efficiency_mb_per_cpus,bytes_downloaded,exit_code
85,anchor,100,Cloud_Fast,0.5,8,256,1.655,788.86,0.432517,231.2,104857600,0
86,anchor,100,Cloud_Fast,0.5,8,1024,1.587,887.16,0.460065,217.36,104857600,0
87,anchor,100,Cloud_Fast,0.5,8,4096,1.575,884.79,0.49218,203.18,104857600,0
88,anchor,100,Cloud_Fast,0.5,16,256,1.594,836.74,0.47727,209.52,104857600,0
89,anchor,100,Cloud_Fast,0.5,16,1024,1.592,834.69,0.523205,191.13,104857600,0
90,anchor,100,Cloud_Fast,0.5,16,4096,1.65,790.23,0.565954,176.69,104857600,0
91,anchor,100,Cloud_Fast,1.0,1,256,1.31,863.58,0.407028,245.68,104857600,0
92,anchor,100,Cloud_Fast,1.0,1,1024,1.312,863.31,0.413156,242.04,104857600,0
93,anchor,100,Cloud_Fast,1.0,1,4096,1.314,861.61,0.436915,228.88,104857600,0
94,anchor,100,Cloud_Fast,1.0,2,256,1.301,872.12,0.403091,248.08,104857600,0
95,anchor,100,Cloud_Fast,1.0,2,1024,1.3,871.79,0.418737,238.81,104857600,0
96,anchor,100,Cloud_Fast,1.0,2,4096,1.303,871.5,0.444211,225.12,104857600,0
97,anchor,100,Cloud_Fast,1.0,4,256,1.288,880.84,0.397951,251.29,104857600,0
98,anchor,100,Cloud_Fast,1.0,4,1024,1.291,880.04,0.421,237.53,104857600,0
99,anchor,100,Cloud_Fast,1.0,4,4096,1.29,880.78,0.446955,223.74,104857600,0
100,anchor,100,Cloud_Fast,1.0,8,256,1.329,847.86,0.429969,232.57,104857600,0
101,anchor,100,Cloud_Fast,1.0,8,1024,1.283,884.84,0.451543,221.46,104857600,0
102,anchor,100,Cloud_Fast,1.0,8,4096,1.304,862.11,0.479212,208.68,104857600,0
103,anchor,100,Cloud_Fast,1.0,16,256,1.309,860.11,0.467763,213.78,104857600,0
104,anchor,100,Cloud_Fast,1.0,16,1024,1.407,780.74,0.506187,197.56,104857600,0
105,anchor,100,Cloud_Fast,1.0,16,4096,1.376,808.6,0.556207,179.79,104857600,0
106,anchor,100,Cloud_Fast,2.0,1,256,1.306,863.71,0.401316,249.18,104857600,0
107,anchor,100,Cloud_Fast,2.0,1,1024,1.307,863.55,0.419016,238.65,104857600,0
108,anchor,100,Cloud_Fast,2.0,1,4096,1.311,862.58,0.44424,225.1,104857600,0
109,anchor,100,Cloud_Fast,2.0,2,256,1.298,872.34,0.399792,250.13,104857600,0
110,anchor,100,Cloud_Fast,2.0,2,1024,1.297,872.36,0.406356,246.09,104857600,0
111,anchor,100,Cloud_Fast,2.0,2,4096,1.296,871.63,0.420401,237.87,104857600,0
112,anchor,100,Cloud_Fast,2.0,4,256,1.346,828.28,0.39975,250.16,104857600,0
113,anchor,100,Cloud_Fast,2.0,4,1024,1.293,880.07,0.424658,235.48,104857600,0
114,anchor,100,Cloud_Fast,2.0,4,4096,1.294,880.2,0.442236,226.12,104857600,0
115,anchor,100,Cloud_Fast,2.0,8,256,1.28,888.83,0.425742,234.88,104857600,0
116,anchor,100,Cloud_Fast,2.0,8,1024,1.358,823.35,0.444979,224.73,104857600,0
117,anchor,100,Cloud_Fast,2.0,8,4096,1.284,885.03,0.490524,203.86,104857600,0
118,anchor,100,Cloud_Fast,2.0,16,256,1.35,827.82,0.464445,215.31,104857600,0
119,anchor,100,Cloud_Fast,2.0,16,1024,1.302,868.27,0.514937,194.2,104857600,0
120,anchor,100,Cloud_Fast,2.0,16,4096,1.361,821.05,0.561311,178.15,104857600,0
121,probe_small,10,IoT_Weak,0.5,1,256,388.077,0.22,0.388828,25.72,10485760,0
122,probe_small,10,IoT_Weak,0.5,1,1024,442.177,0.19,0.398828,25.07,10485760,0
123,probe_small,10,IoT_Weak,0.5,16,256,67.21,1.26,0.404429,24.73,10485760,0
124,probe_small,10,IoT_Weak,0.5,16,1024,52.56,1.61,0.406097,24.62,10485760,0
125,probe_small,10,IoT_Weak,2.0,1,256,438.159,0.19,0.392986,25.45,10485760,0
126,probe_small,10,IoT_Weak,2.0,1,1024,446.692,0.19,0.394345,25.36,10485760,0
127,probe_small,10,IoT_Weak,2.0,16,256,55.218,1.53,0.405105,24.68,10485760,0
128,probe_small,10,IoT_Weak,2.0,16,1024,57.331,1.47,0.410119,24.38,10485760,0
129,probe_small,10,Cloud_Fast,0.5,1,256,0.788,460.64,0.334597,29.89,10485760,0
130,probe_small,10,Cloud_Fast,0.5,1,1024,0.777,460.63,0.34088,29.34,10485760,0
131,probe_small,10,Cloud_Fast,0.5,16,256,0.737,549.88,0.360974,27.7,10485760,0
132,probe_small,10,Cloud_Fast,0.5,16,1024,0.767,469.05,0.37056,26.99,10485760,0
133,probe_small,10,Cloud_Fast,2.0,1,256,0.518,461.45,0.333519,29.98,10485760,0
134,probe_small,10,Cloud_Fast,2.0,1,1024,0.518,461.04,0.332624,30.06,10485760,0
135,probe_small,10,Cloud_Fast,2.0,16,256,0.488,553.68,0.355249,28.15,10485760,0
136,probe_small,10,Cloud_Fast,2.0,16,1024,0.493,523.15,0.361454,27.67,10485760,0
137,probe_small,10,IoT_Weak,0.5,1,256,474.297,0.18,0.397259,25.17,10485760,0
138,probe_small,10,IoT_Weak,0.5,1,1024,472.721,0.18,0.407319,24.55,10485760,0
139,probe_small,10,IoT_Weak,0.5,16,256,59.273,1.43,0.403689,24.77,10485760,0
140,probe_small,10,IoT_Weak,0.5,16,1024,59.007,1.44,0.409245,24.44,10485760,0
141,probe_small,10,IoT_Weak,2.0,1,256,392.003,0.21,0.387443,25.81,10485760,0
142,probe_small,10,IoT_Weak,2.0,1,1024,439.417,0.19,0.389332,25.69,10485760,0
143,probe_small,10,IoT_Weak,2.0,16,256,62.394,1.35,0.397333,25.17,10485760,0
144,probe_small,10,IoT_Weak,2.0,16,1024,54.703,1.54,0.404391,24.73,10485760,0
145,probe_small,10,Cloud_Fast,0.5,1,256,0.804,461.88,0.336054,29.76,10485760,0
146,probe_small,10,Cloud_Fast,0.5,1,1024,0.799,460.6,0.345894,28.91,10485760,0
147,probe_small,10,Cloud_Fast,0.5,16,256,0.749,557.87,0.360678,27.73,10485760,0
148,probe_small,10,Cloud_Fast,0.5,16,1024,0.747,519.06,0.366992,27.25,10485760,0
149,probe_small,10,Cloud_Fast,2.0,1,256,0.516,462.2,0.331535,30.16,10485760,0
150,probe_small,10,Cloud_Fast,2.0,1,1024,0.524,461.44,0.340617,29.36,10485760,0
151,probe_small,10,Cloud_Fast,2.0,16,256,0.486,560.55,0.356556,28.05,10485760,0
152,probe_small,10,Cloud_Fast,2.0,16,1024,0.489,557.15,0.364987,27.4,10485760,0
153,probe_small,10,IoT_Weak,0.5,1,256,496.973,0.17,0.401455,24.91,10485760,0
154,probe_small,10,IoT_Weak,0.5,1,1024,485.373,0.17,0.394278,25.36,10485760,0
155,probe_small,10,IoT_Weak,0.5,16,256,62.865,1.35,0.402298,24.86,10485760,0
156,probe_small,10,IoT_Weak,0.5,16,1024,57.415,1.48,0.409113,24.44,10485760,0
157,probe_small,10,IoT_Weak,2.0,1,256,401.649,0.21,0.388067,25.77,10485760,0
158,probe_small,10,IoT_Weak,2.0,1,1024,432.693,0.19,0.387458,25.81,10485760,0
159,probe_small,10,IoT_Weak,2.0,16,256,69.228,1.22,0.399911,25.01,10485760,0
160,probe_small,10,IoT_Weak,2.0,16,1024,58.771,1.44,0.40851,24.48,10485760,0
161,probe_small,10,Cloud_Fast,0.5,1,256,0.817,361.58,0.33433,29.91,10485760,0
162,probe_small,10,Cloud_Fast,0.5,1,1024,0.816,460.64,0.334642,29.88,10485760,0
163,probe_small,10,Cloud_Fast,0.5,16,256,0.779,548.37,0.362832,27.56,10485760,0
164,probe_small,10,Cloud_Fast,0.5,16,1024,0.764,557.0,0.369829,27.04,10485760,0
